service, best case response time, worst case response time, average response time, std dev response time, availability
Shipping Service: Ship Order Request,0.000727125,0.001896548,0.0011537619,0.00038738315007378677,1
Currency Service: Currency Conversion Request,0.002604917,0.003002564,0.0028122677999999996,0.00014174106774312095,1
Currency Service: Empty Request,0.00247325,0.032580493,0.006807542299999999,0.008963131774767536,1
Cart Service: Add Item Request,0.001636514,0.00372791,0.0028599416999999998,0.0005908424453540977,1
Cart Service: Get Cart Request,0.000842074,0.002458555,0.0019150496999999999,0.0004169134932604245,1
Cart Service: Empty Cart Request,0.000983581,0.005807119,0.0020158155999999996,0.0013398834626047297,1
Ad Service: Ad Request,0.005490692,0.091103703,0.0197496025,0.026881735842482143,1
Payment Service: Charge Request,0.005464934,0.018291934,0.007748136600000001,0.0035952549858164493,1
Email Service: Send Order Confirmation Request,0.051240811,0.549613651,0.3161158223,0.16684840339458104,1
Product Catalogue Service: Empty Request,0.000897512,0.00735758,0.0020735883000000004,0.0018651685794988102,1
Prouduct Catalogue Service: Get Product Request,0.000497818,0.002626511,0.0010371725000000002,0.0006746217105208296,1
Product Catalogue Service: Search Product Request,0.000464447,0.002664608,0.0008658293000000001,0.0006307460518847583,1
Recommendation List Service: Recommendation Request,0.002283777,0.003756947,0.0028673086999999996,0.0004024151599979926,1
Checkout Service: Place Order Request,0.278993041,0.691215844,0.47938926390000003,0.12775030977744273,1
Shipping Service: Get Quote Request,0.000808826,0.001188342,0.0009555603000000001,0.00011015513727198563,1
Shipping Service: Ship Order Request,0.000642956,0.001351512,0.0009493328,0.00022515776096719383,1
Currency Service: Currency Conversion Request,0.002400799,0.066358349,0.009079171099999998,0.01909370236771464,1
Currency Service: Empty Request,0.001687587,0.007404865,0.0030879357,0.00155103740252697,1
Cart Service: Add Item Request,0.002550458,0.00925326,0.004219179199999999,0.0018459338939359558,1
Cart Service: Get Cart Request,0.000894749,0.007094717,0.0024974667,0.001628544137314003,1
Cart Service: Empty Cart Request,0.000791482,0.003099636,0.0018104998,0.0007085381205834729,1
Ad Service: Ad Request,0.009654868,0.099204791,0.024020569300000006,0.025656409767844855,1
Payment Service: Charge Request,0.002305034,0.004841778,0.0035833461000000003,0.0006183766077712593,1
Email Service: Send Order Confirmation Request,0.068862068,0.502860786,0.3486287454,0.1499568923378523,1
Product Catalogue Service: Empty Request,0.000790858,0.100263275,0.0108369008,0.029809071059336455,1
Prouduct Catalogue Service: Get Product Request,0.000322521,0.008087088,0.0011649099999999997,0.002308847491991578,1
Product Catalogue Service: Search Product Request,0.000289533,0.00148285,0.0005042897999999999,0.0003417608304395926,1
Recommendation List Service: Recommendation Request,0.002309909,0.004307708,0.0029669562,0.0006756706674116912,1
Checkout Service: Place Order Request,0.416718585,0.640052974,0.49433864340000006,0.07645183065200387,1
Shipping Service: Get Quote Request,0.000814228,0.001209506,0.0009557792000000001,0.00011058844148264317,1
Shipping Service: Ship Order Request,0.000885278,0.00171267,0.0014163727999999998,0.00024105126578087077,1
Currency Service: Currency Conversion Request,0.002930411,0.016297623,0.004496761199999999,0.003945363661703869,1
Currency Service: Empty Request,0.002634782,0.00404148,0.0030339217999999996,0.0004079144708575071,1
Cart Service: Add Item Request,0.002663097,0.241637777,0.0277559719,0.0713262378933195,1
Cart Service: Get Cart Request,0.001642039,0.004024274,0.0022547877,0.0007812574663855765,1
Cart Service: Empty Cart Request,0.001304794,0.005697386,0.0020262266999999997,0.0012583412102364802,1
Ad Service: Ad Request,4.9676e-05,18.858046537,1.8968066182999999,5.653756095233973,0.8
Payment Service: Charge Request,0.002708889,0.004016523,0.0034286311,0.00042892423803125184,1
Email Service: Send Order Confirmation Request,0.100384603,0.568750767,0.301429297,0.16299532171061795,1
Product Catalogue Service: Empty Request,0.000927908,0.001169548,0.0010034574999999999,8.29911756938652e-05,1
Prouduct Catalogue Service: Get Product Request,0.000354867,0.000739581,0.0004922549,0.00010704847812878987,1
Product Catalogue Service: Search Product Request,0.000345566,0.000724586,0.00044201430000000006,0.00011953454363325272,1
Recommendation List Service: Recommendation Request,0.00252047,0.007572003,0.0036880137999999994,0.0015141075367619565,1
Checkout Service: Place Order Request,0.101380007,0.758068225,0.43738052320000004,0.18289904955508704,1
Shipping Service: Get Quote Request,0.000950188,0.002205246,0.0012427900000000001,0.000345969904425226,1
Shipping Service: Ship Order Request,0.000702703,0.001644683,0.0012097515000000002,0.00030829190772780593,1
Currency Service: Currency Conversion Request,0.002334979,0.00384028,0.0026853240000000002,0.0004032299566304568,1
Currency Service: Empty Request,0.002309329,0.00624294,0.0032930858,0.0014629125711912384,1
Cart Service: Add Item Request,3.0741e-05,0.024693394,0.0045418639,0.006767017351119125,0.9
Cart Service: Get Cart Request,1.5596e-05,0.003800168,0.0019494299999999998,0.0010239691999550573,0.9
Cart Service: Empty Cart Request,1.2733e-05,0.001983168,0.0013512824999999998,0.0005441378486919009,0.9
Ad Service: Ad Request,0.006431058,0.065582766,0.0204838581,0.02123326892089816,1
Payment Service: Charge Request,0.004826688,0.021161241,0.008719209700000001,0.004874386856287835,1
Email Service: Send Order Confirmation Request,0.077212335,0.663243955,0.293386312,0.17293271343554203,1
Product Catalogue Service: Empty Request,0.000815622,0.001316672,0.0010959945,0.00015906400406770228,1
Prouduct Catalogue Service: Get Product Request,0.000449215,0.001462074,0.0006642744000000001,0.000276309551367013,1
Product Catalogue Service: Search Product Request,0.000471377,0.000673294,0.0005743942,5.7969595221633206e-05,1
Recommendation List Service: Recommendation Request,0.00222985,0.003653122,0.0027820705,0.0004099400365798027,1
Checkout Service: Place Order Request,0.305103732,1.076497599,0.5147834045999999,0.20719782208748214,1
Shipping Service: Get Quote Request,0.000762554,0.001082218,0.0009277319000000001,8.752659189006505e-05,1
Shipping Service: Ship Order Request,0.000708011,0.0012994,0.0010349431,0.000202282163125892,1
Currency Service: Currency Conversion Request,0.002523047,0.003320275,0.0027688617,0.00027337595031642784,1
Currency Service: Empty Request,0.002621741,0.003065272,0.0028089954,0.00015958132702681728,1
Cart Service: Add Item Request,0.001776165,0.004288419,0.0024984937000000003,0.0007535260159410623,1
Cart Service: Get Cart Request,0.001395474,0.003193406,0.0018456931999999999,0.0005280586435196001,1
Cart Service: Empty Cart Request,0.000833797,0.00207325,0.0013253867,0.0003912501987442434,1
Ad Service: Ad Request,0.0070345,0.07317518,0.0171808611,0.019269745812198407,1
Payment Service: Charge Request,0.002075105,0.005601439,0.0032806113000000007,0.0009374439369149547,1
Email Service: Send Order Confirmation Request,0.160948725,0.467670666,0.2931921572999999,0.09853402050731924,1
Product Catalogue Service: Empty Request,0.000711921,0.171605388,0.018033473499999998,0.05119130912160179,1
Prouduct Catalogue Service: Get Product Request,0.000304805,0.001545439,0.0005691227,0.0003759751987738154,1
Product Catalogue Service: Search Product Request,0.000286376,0.000539712,0.00038977490000000005,7.81611261388294e-05,1
Recommendation List Service: Recommendation Request,0.002461457,0.006502101,0.0036393155999999995,0.0010961356404578038,1
Checkout Service: Place Order Request,0.164017461,0.681208493,0.43985144299999995,0.16123293771995084,1
Shipping Service: Get Quote Request,0.000849221,0.00203984,0.0011309736,0.0003288926004191033,1
Shipping Service: Ship Order Request,0.000734242,0.001582916,0.0012522385,0.0002840801714672286,1
Currency Service: Currency Conversion Request,0.002785197,0.01375621,0.0047336671,0.0033046949842088134,1
Currency Service: Empty Request,0.001995012,0.006035051,0.0033395975000000003,0.0010620905267102467,1
Cart Service: Add Item Request,0.00191233,0.004086864,0.0029133812999999997,0.0006013054363534475,1
Cart Service: Get Cart Request,0.001042642,0.00370964,0.0020184601,0.0006803344304737855,1
Cart Service: Empty Cart Request,0.000957669,0.005076733,0.0018756541999999997,0.0011054540283751107,1
Ad Service: Ad Request,5.434e-05,19.069776952,1.9188641468000003,5.716990946055552,0.8
Payment Service: Charge Request,0.002007615,0.013383065,0.004219565,0.0031332496846932577,1
Email Service: Send Order Confirmation Request,0.113666455,0.506813887,0.3587464819,0.12832455013849073,1
Product Catalogue Service: Empty Request,0.000757586,0.00121327,0.0009541935000000002,0.0001461498097414088,1
Prouduct Catalogue Service: Get Product Request,0.000366712,0.000727937,0.00046434150000000007,0.0001043571746208664,1
Product Catalogue Service: Search Product Request,0.000332988,0.000707846,0.0004284576,0.000118848736062442,1
Recommendation List Service: Recommendation Request,0.002783111,0.007526302,0.0040377862,0.0017577519300809089,1
Checkout Service: Place Order Request,0.13671295,0.635260603,0.4378918303,0.14614059387590095,1
Shipping Service: Get Quote Request,0.000915957,0.002153451,0.0013264812,0.00042327808870216754,1
Shipping Service: Ship Order Request,0.00081867,0.001881755,0.0011292746999999998,0.00038075406889987405,1
Currency Service: Currency Conversion Request,0.002221442,0.003812268,0.0026858714,0.0003996337816664652,1
Currency Service: Empty Request,0.002387464,0.004968443,0.0030855006,0.0009362209124526325,1
Cart Service: Add Item Request,5.5782e-05,0.004420069,0.0024828380000000002,0.0009931368897165187,0.9
Cart Service: Get Cart Request,1.4511e-05,0.002449595,0.0016267386000000002,0.000645391889733238,0.9
Cart Service: Empty Cart Request,1.5788e-05,0.002186759,0.0014906476,0.0006063474887178473,0.9
Ad Service: Ad Request,3.762e-05,0.024288597,0.011605361,0.007424565278063329,0.9
Payment Service: Charge Request,0.002802472,0.01646298,0.0075014899,0.0036615087879041733,1
Email Service: Send Order Confirmation Request,0.189178124,0.612052179,0.31654091009999996,0.12559374637224954,1
Product Catalogue Service: Empty Request,0.000790978,0.001329491,0.0010743668,0.00016250361135913257,1
Prouduct Catalogue Service: Get Product Request,0.000479567,0.000748925,0.0005853694000000001,6.512241499698855e-05,1
Product Catalogue Service: Search Product Request,0.000464398,0.000772601,0.0005722782,8.986946849826142e-05,1
Recommendation List Service: Recommendation Request,0.002593471,0.004162419,0.0031843404999999997,0.0004261678677974794,1
Checkout Service: Place Order Request,0.158767354,0.635759687,0.4027148446,0.14854204642411847,1
Shipping Service: Get Quote Request,0.000764959,0.001831689,0.0010733099,0.0002826091064677322,1
Shipping Service: Ship Order Request,0.000648242,0.001402457,0.0009694173000000001,0.00025376464265379836,1
Currency Service: Currency Conversion Request,0.001667176,0.005718683,0.0029970857999999994,0.000991542318902204,1
Currency Service: Empty Request,0.001653971,0.004133688,0.002943211,0.0006943626257793545,1
Cart Service: Add Item Request,0.001517142,0.003034147,0.0022897053,0.0004479288937262365,1
Cart Service: Get Cart Request,0.000916207,0.002318715,0.0015367875,0.00039664704177549336,1
Cart Service: Empty Cart Request,0.000856608,0.001595789,0.0013000789,0.00024262033531526165,1
Ad Service: Ad Request,2.5896e-05,19.234632703,1.9366265636000002,5.7660171916062595,0.8
Payment Service: Charge Request,0.003381863,0.007545943,0.0040702826,0.0011853849974449821,1
Email Service: Send Order Confirmation Request,0.055248264,0.562663243,0.38935887459999996,0.13478726926174459,1
Product Catalogue Service: Empty Request,0.0007491,0.001958309,0.0011092463,0.0003367124965747634,1
Prouduct Catalogue Service: Get Product Request,0.000332707,0.000772274,0.0004735856,0.00012087677034087235,1
Product Catalogue Service: Search Product Request,0.000295085,0.000590674,0.0004104785,9.813889501950793e-05,1
Recommendation List Service: Recommendation Request,0.002492807,0.004411881,0.0033338757999999994,0.000554100389392175,1
Checkout Service: Place Order Request,0.147021155,0.632881714,0.4620345067999999,0.14644065384667704,1
Shipping Service: Get Quote Request,0.00082151,0.001907377,0.0011073125,0.00029052600755397095,1
Shipping Service: Ship Order Request,0.000875232,0.002140021,0.0014293563,0.0003752716018765742,1
Currency Service: Currency Conversion Request,0.001776637,0.016422746,0.004500493900000001,0.0041828623161097095,1
Currency Service: Empty Request,0.002672824,0.059964407,0.011398813399999999,0.017909934654737173,1
Cart Service: Add Item Request,0.002265557,0.007752163,0.0032043173,0.0015320908544893186,1
Cart Service: Get Cart Request,0.001073086,0.003850694,0.0021150799999999997,0.0006970118029466933,1
Cart Service: Empty Cart Request,0.000793718,0.002963725,0.0016497902000000002,0.0006102328893818818,1
Ad Service: Ad Request,4.7477e-05,18.923033691,1.9077292655000004,5.671813732719698,0.8
Payment Service: Charge Request,0.003269066,0.006213421,0.004171838099999999,0.000977021235156171,1
Email Service: Send Order Confirmation Request,0.08487679,0.625972279,0.40769945709999994,0.15407068724343123,1
Product Catalogue Service: Empty Request,0.000823091,0.001280304,0.001021619,0.000149355267078868,1
Prouduct Catalogue Service: Get Product Request,0.000413966,0.000554373,0.00046951349999999997,4.84588099054238e-05,1
Product Catalogue Service: Search Product Request,0.000348318,0.000721659,0.0004769284,0.00011442079142725767,1
Recommendation List Service: Recommendation Request,0.002547831,0.003879757,0.0030968994000000007,0.00040953397620324493,1
Checkout Service: Place Order Request,0.196795269,0.659473208,0.3766513932,0.1760736030671444,1
Shipping Service: Get Quote Request,0.000955965,0.004554945,0.0014745883,0.0010315354301310305,1
Shipping Service: Ship Order Request,0.000764209,0.001676695,0.0012670773,0.000306012005928542,1
Currency Service: Currency Conversion Request,0.002452747,0.004266637,0.0028237704000000003,0.0004936933203769725,1
Currency Service: Empty Request,0.0024774,0.006781862,0.00340381,0.0013098629434981355,1
Cart Service: Add Item Request,0.00162554,0.003024985,0.0023823928,0.0004520394423613497,1
Cart Service: Get Cart Request,0.000946389,0.0022543,0.0016889665000000002,0.0004093946419393517,1
Cart Service: Empty Cart Request,0.000834456,0.002142677,0.0014429031000000002,0.00041409490339279714,1
Ad Service: Ad Request,0.009324021,0.123828416,0.024514935099999996,0.03421403457764018,1
Payment Service: Charge Request,0.005054067,0.015069922,0.0083498178,0.002547272290724994,1
Email Service: Send Order Confirmation Request,0.120952119,0.622068536,0.43121916140000005,0.1577064065839732,1
Product Catalogue Service: Empty Request,0.000909024,0.00280199,0.001288782,0.0005257296994772123,1
Prouduct Catalogue Service: Get Product Request,0.000464484,0.002355026,0.0010150724999999998,0.0006295133510235109,1
Product Catalogue Service: Search Product Request,0.000498129,0.001056106,0.0006876262000000001,0.000169287290907971,1
Recommendation List Service: Recommendation Request,0.00248632,0.003680591,0.0029472641000000003,0.0004242802348251566,1
Checkout Service: Place Order Request,0.155561163,0.609777502,0.42398006080000006,0.15791883773215548,1
Shipping Service: Get Quote Request,0.000842358,0.002385665,0.0011312625,0.0004291734389498609,1
Shipping Service: Ship Order Request,0.000735207,0.001376603,0.0010698518,0.000243559437073089,1
Currency Service: Currency Conversion Request,0.001639831,0.002904787,0.0026481602,0.000364542064359876,1
Currency Service: Empty Request,0.002349266,0.013191856,0.0046158078,0.0033522110770504237,1
